x	y	cluster
-1.26	21.27	4
7.96	-20.77	5
6.99	-9.96	5
-15.91	3.33	2
23.31	4.27	0
-14.09	7.91	2
21.36	5.29	0
-2.95	-21.07	5
-5.26	1.18	1
-5.48	8.08	1
11.22	16.92	4
3.01	-11.99	5
-2.41	-4.85	1
-23.26	-1.91	2
24.46	2.66	0
-1.4	-15.86	5
17.17	-2.39	0
5.62	-12.93	5
-2.85	-14.29	5
-13.77	8.85	2
6.44	19.48	4
0.03	-10.34	5
-8.09	-8.81	3
-19.19	-4.52	3
17.54	4.63	0
6.11	-5.46	1
21.33	8.11	0
4.78	-5.18	1
0.44	-7.38	1
-14.53	9.43	2
0.24	26.59	4
-13.63	7.37	2
-5.02	-3.6	1
-6.03	-11.22	3
18.01	3.47	0
-3.19	-9.59	1
6.13	15.9	4
-13.37	9.99	2
-0.02	-11.68	5
-20.74	12.82	2
-4.39	-10.77	3
25.05	0.77	0
2.82	-9.29	5
5.66	-10.37	5
-3.56	-18.92	5
-20.85	3.08	2
3.01	-11.39	5
1.64	-10.74	5
5.02	20.77	4
3.94	20.88	4
0.98	-6.8	1
6.27	-7.26	5
6.9	-13.32	5
1.67	-9.99	5
10.71	-9.21	5
10.32	13.99	4
3.25	-9.59	5
6.66	-11.72	5
22.43	10.56	0
-19.41	-8.14	3
-23.57	3.62	2
4.77	-11.74	5
-23.89	0.59	2
-21.56	-8.82	3
28.18	7.43	0
21.39	11.18	0
21.36	8.29	0
14.77	17.14	4
19.45	-4.41	0
-7.71	-19.19	3
7.91	-10.86	5
-6.15	-5.71	1
6.31	20.1	4
-18.42	11.8	2
-1.28	0.97	1
2.99	-9.24	5
2.75	-11.29	5
6.56	-13.93	5
-3.43	22.84	4
-1.26	23.8	4
0.19	-15.57	5
1.34	-19.62	5
21.7	7.18	0
-20.24	-5.36	3
-3.73	-2.33	1
7.5	-20.86	5
6.52	-3.71	1
18.2	-13.21	5
22.07	2.24	0
-24.1	-1.81	2
3.14	-14.1	5
-20.61	-14.86	3
-20.18	12.0	2
12.56	-20.24	5
